week	country	total_views
2025-06-16	Algeria	1
2025-06-16	Argentina	8
2025-06-16	Armenia	2
2025-06-16	Australia	528
2025-06-16	Austria	5
2025-06-16	Azerbaijan	1
2025-06-16	Bahrain	2
2025-06-16	Barbados	2
2025-06-16	Belgium	3
2025-06-16	Bolivia	1
2025-06-16	Botswana	1
2025-06-16	Brazil	15
2025-06-16	Bulgaria	3
2025-06-16	Canada	627
2025-06-16	Cayman Islands	2
2025-06-16	Chile	11
2025-06-16	China	1
2025-06-16	Colombia	17
2025-06-16	Costa Rica	1
2025-06-16	Croatia	2
2025-06-16	Cyprus	6
2025-06-16	Czechia	1
2025-06-16	Denmark	7
2025-06-16	Dominican Republic	8
2025-06-16	Ecuador	3
2025-06-16	Egypt	2
2025-06-16	Estonia	1
2025-06-16	Fiji	2
2025-06-16	Finland	3
2025-06-16	France	27
2025-06-16	Germany	54
2025-06-16	Ghana	4
2025-06-16	Greece	5
2025-06-16	Guam	2
2025-06-16	Guatemala	1
2025-06-16	Honduras	2
2025-06-16	Hong Kong	2
2025-06-16	Hungary	3
2025-06-16	Iceland	2
2025-06-16	India	81
2025-06-16	Indonesia	22
2025-06-16	Iran	1
2025-06-16	Iraq	3
2025-06-16	Ireland	25
2025-06-16	Israel	30
2025-06-16	Italy	12
2025-06-16	Japan	8
2025-06-16	Jordan	4
2025-06-16	Kenya	2
2025-06-16	Kuwait	3
2025-06-16	Lebanon	2
2025-06-16	Lithuania	4
2025-06-16	Malawi	1
2025-06-16	Malaysia	9
2025-06-16	Maldives	1
2025-06-16	Malta	4
2025-06-16	Mexico	60
2025-06-16	Morocco	1
2025-06-16	Namibia	1
2025-06-16	Netherlands	17
2025-06-16	New Zealand	36
2025-06-16	Nicaragua	2
2025-06-16	Nigeria	1
2025-06-16	Norway	10
2025-06-16	Oman	2
2025-06-16	Pakistan	7
2025-06-16	Palestine	2
2025-06-16	Panama	6
2025-06-16	Paraguay	2
2025-06-16	Peru	5
2025-06-16	Philippines	23
2025-06-16	Poland	3
2025-06-16	Portugal	18
2025-06-16	Puerto Rico	11
2025-06-16	Qatar	3
2025-06-16	Romania	9
2025-06-16	Saudi Arabia	27
2025-06-16	Singapore	7
2025-06-16	Slovakia	5
2025-06-16	Slovenia	1
2025-06-16	South Africa	32
2025-06-16	South Korea	6
2025-06-16	Spain	14
2025-06-16	Sri Lanka	1
2025-06-16	Sweden	20
2025-06-16	Switzerland	15
2025-06-16	Taiwan	1
2025-06-16	Tanzania	1
2025-06-16	Thailand	8
2025-06-16	Trinidad & Tobago	4
2025-06-16	Tunisia	3
2025-06-16	Türkiye	4
2025-06-16	United Arab Emirates	18
2025-06-16	United Kingdom	209
2025-06-16	United States	4955
2025-06-16	Venezuela	8
2025-06-16	Vietnam	1
2025-06-16	Zimbabwe	1
2025-06-23	Afghanistan	1
2025-06-23	Algeria	1
2025-06-23	Argentina	27
2025-06-23	Australia	951
2025-06-23	Austria	16
2025-06-23	Azerbaijan	1
2025-06-23	Bahamas	2
2025-06-23	Bahrain	9
2025-06-23	Barbados	5
2025-06-23	Belgium	16
2025-06-23	Bermuda	1
2025-06-23	Bolivia	2
2025-06-23	Brazil	49
2025-06-23	Brunei	2
2025-06-23	Bulgaria	11
2025-06-23	Canada	1099
2025-06-23	Cayman Islands	1
2025-06-23	Chile	40
2025-06-23	China	1
2025-06-23	Colombia	30
2025-06-23	Costa Rica	11
2025-06-23	Croatia	12
2025-06-23	Cuba	1
2025-06-23	Cyprus	5
2025-06-23	Czechia	14
2025-06-23	Denmark	17
2025-06-23	Dominican Republic	18
2025-06-23	Ecuador	4
2025-06-23	Egypt	13
2025-06-23	El Salvador	4
2025-06-23	Estonia	1
2025-06-23	Fiji	1
2025-06-23	Finland	7
2025-06-23	France	54
2025-06-23	Germany	117
2025-06-23	Ghana	3
2025-06-23	Greece	14
2025-06-23	Grenada	1
2025-06-23	Guadeloupe	1
2025-06-23	Guam	4
2025-06-23	Guatemala	15
2025-06-23	Honduras	6
2025-06-23	Hong Kong	8
2025-06-23	Hungary	9
2025-06-23	Iceland	1
2025-06-23	India	145
2025-06-23	Indonesia	23
2025-06-23	Iraq	9
2025-06-23	Ireland	78
2025-06-23	Israel	74
2025-06-23	Italy	28
2025-06-23	Jamaica	1
2025-06-23	Japan	17
2025-06-23	Jordan	6
2025-06-23	Kazakhstan	2
2025-06-23	Kenya	6
2025-06-23	Kuwait	3
2025-06-23	Laos	1
2025-06-23	Latvia	5
2025-06-23	Lebanon	10
2025-06-23	Lithuania	4
2025-06-23	Malaysia	16
2025-06-23	Maldives	2
2025-06-23	Malta	6
2025-06-23	Mauritius	3
2025-06-23	Mexico	155
2025-06-23	Morocco	4
2025-06-23	Netherlands	61
2025-06-23	New Zealand	109
2025-06-23	Nicaragua	3
2025-06-23	Nigeria	2
2025-06-23	Norway	13
2025-06-23	Oman	4
2025-06-23	Pakistan	14
2025-06-23	Palestine	1
2025-06-23	Panama	4
2025-06-23	Paraguay	5
2025-06-23	Peru	5
2025-06-23	Philippines	56
2025-06-23	Poland	27
2025-06-23	Portugal	26
2025-06-23	Puerto Rico	23
2025-06-23	Qatar	10
2025-06-23	Romania	18
2025-06-23	Russia	2
2025-06-23	Saudi Arabia	43
2025-06-23	Seychelles	1
2025-06-23	Singapore	17
2025-06-23	Slovakia	6
2025-06-23	Slovenia	3
2025-06-23	South Africa	70
2025-06-23	South Korea	19
2025-06-23	Spain	29
2025-06-23	Sri Lanka	1
2025-06-23	St. Vincent & Grenadines	1
2025-06-23	Sweden	22
2025-06-23	Switzerland	21
2025-06-23	Syria	1
2025-06-23	Taiwan	1
2025-06-23	Tanzania	1
2025-06-23	Thailand	10
2025-06-23	Tunisia	4
2025-06-23	Türkiye	8
2025-06-23	United Arab Emirates	42
2025-06-23	United Kingdom	461
2025-06-23	United States	8778
2025-06-23	Uruguay	7
2025-06-23	Uzbekistan	1
2025-06-23	Venezuela	21
2025-06-23	Vietnam	4
2025-06-23	Zambia	1
2025-06-23	Zimbabwe	6
2025-06-30	Algeria	3
2025-06-30	Antigua & Barbuda	1
2025-06-30	Argentina	21
2025-06-30	Armenia	3
2025-06-30	Aruba	2
2025-06-30	Australia	733
2025-06-30	Austria	12
2025-06-30	Bahamas	2
2025-06-30	Bahrain	3
2025-06-30	Barbados	3
2025-06-30	Belgium	12
2025-06-30	Bermuda	2
2025-06-30	Bolivia	1
2025-06-30	Brazil	33
2025-06-30	Brunei	1
2025-06-30	Bulgaria	7
2025-06-30	Canada	923
2025-06-30	Cayman Islands	1
2025-06-30	Chile	33
2025-06-30	China	3
2025-06-30	Colombia	21
2025-06-30	Costa Rica	3
2025-06-30	Croatia	11
2025-06-30	Curaçao	1
2025-06-30	Cyprus	5
2025-06-30	Czechia	18
2025-06-30	Denmark	16
2025-06-30	Dominican Republic	11
2025-06-30	Ecuador	13
2025-06-30	Egypt	1
2025-06-30	El Salvador	1
2025-06-30	Finland	5
2025-06-30	France	22
2025-06-30	Germany	76
2025-06-30	Ghana	2
2025-06-30	Greece	10
2025-06-30	Guadeloupe	1
2025-06-30	Guam	2
2025-06-30	Guatemala	10
2025-06-30	Haiti	2
2025-06-30	Honduras	2
2025-06-30	Hong Kong	4
2025-06-30	Hungary	8
2025-06-30	Iceland	2
2025-06-30	India	112
2025-06-30	Indonesia	25
2025-06-30	Iran	1
2025-06-30	Iraq	2
2025-06-30	Ireland	43
2025-06-30	Israel	47
2025-06-30	Italy	23
2025-06-30	Jamaica	2
2025-06-30	Japan	12
2025-06-30	Jordan	5
2025-06-30	Kenya	3
2025-06-30	Kuwait	4
2025-06-30	Latvia	2
2025-06-30	Lebanon	7
2025-06-30	Libya	1
2025-06-30	Luxembourg	1
2025-06-30	Malaysia	12
2025-06-30	Malta	5
2025-06-30	Mauritius	5
2025-06-30	Mexico	98
2025-06-30	Morocco	1
2025-06-30	Nepal	1
2025-06-30	Netherlands	40
2025-06-30	New Caledonia	1
2025-06-30	New Zealand	91
2025-06-30	Nicaragua	1
2025-06-30	Nigeria	5
2025-06-30	Norway	14
2025-06-30	Oman	3
2025-06-30	Pakistan	18
2025-06-30	Panama	1
2025-06-30	Paraguay	1
2025-06-30	Peru	12
2025-06-30	Philippines	52
2025-06-30	Poland	8
2025-06-30	Portugal	20
2025-06-30	Puerto Rico	24
2025-06-30	Qatar	5
2025-06-30	Romania	23
2025-06-30	Russia	2
2025-06-30	Samoa	1
2025-06-30	Saudi Arabia	31
2025-06-30	Seychelles	1
2025-06-30	Singapore	25
2025-06-30	Slovakia	3
2025-06-30	Slovenia	1
2025-06-30	South Africa	85
2025-06-30	South Korea	9
2025-06-30	Spain	23
2025-06-30	Sri Lanka	2
2025-06-30	Sweden	21
2025-06-30	Switzerland	15
2025-06-30	Taiwan	2
2025-06-30	Thailand	8
2025-06-30	Trinidad & Tobago	4
2025-06-30	Tunisia	6
2025-06-30	Türkiye	6
2025-06-30	U.S. Virgin Islands	2
2025-06-30	United Arab Emirates	26
2025-06-30	United Kingdom	276
2025-06-30	United States	7428
2025-06-30	Uruguay	3
2025-06-30	Uzbekistan	1
2025-06-30	Venezuela	16
2025-06-30	Vietnam	3
2025-06-30	Zambia	1
2025-06-30	Zimbabwe	3
2025-07-07	Algeria	2
2025-07-07	Argentina	23
2025-07-07	Armenia	1
2025-07-07	Aruba	1
2025-07-07	Australia	657
2025-07-07	Austria	8
2025-07-07	Bahamas	1
2025-07-07	Bahrain	16
2025-07-07	Bangladesh	2
2025-07-07	Barbados	1
2025-07-07	Belgium	10
2025-07-07	Belize	2
2025-07-07	Bermuda	1
2025-07-07	Botswana	2
2025-07-07	Brazil	36
2025-07-07	Bulgaria	5
2025-07-07	Cameroon	1
2025-07-07	Canada	980
2025-07-07	Caribbean Netherlands	4
2025-07-07	Chile	46
2025-07-07	China	2
2025-07-07	Colombia	15
2025-07-07	Costa Rica	10
2025-07-07	Croatia	11
2025-07-07	Cyprus	3
2025-07-07	Czechia	3
2025-07-07	Denmark	13
2025-07-07	Dominican Republic	11
2025-07-07	Ecuador	6
2025-07-07	Egypt	4
2025-07-07	Estonia	4
2025-07-07	Fiji	1
2025-07-07	Finland	8
2025-07-07	France	29
2025-07-07	Georgia	1
2025-07-07	Germany	105
2025-07-07	Ghana	2
2025-07-07	Greece	10
2025-07-07	Guam	3
2025-07-07	Guatemala	7
2025-07-07	Hungary	5
2025-07-07	Iceland	2
2025-07-07	India	108
2025-07-07	Indonesia	18
2025-07-07	Iran	3
2025-07-07	Iraq	2
2025-07-07	Ireland	49
2025-07-07	Israel	50
2025-07-07	Italy	24
2025-07-07	Jamaica	1
2025-07-07	Japan	27
2025-07-07	Jordan	1
2025-07-07	Kazakhstan	1
2025-07-07	Kenya	5
2025-07-07	Kuwait	4
2025-07-07	Laos	1
2025-07-07	Latvia	4
2025-07-07	Lebanon	7
2025-07-07	Lithuania	5
2025-07-07	Malaysia	8
2025-07-07	Maldives	2
2025-07-07	Malta	1
2025-07-07	Martinique	1
2025-07-07	Mexico	98
2025-07-07	Moldova	1
2025-07-07	Morocco	4
2025-07-07	Netherlands	33
2025-07-07	New Zealand	117
2025-07-07	Nicaragua	1
2025-07-07	Nigeria	6
2025-07-07	Norway	5
2025-07-07	Oman	1
2025-07-07	Pakistan	19
2025-07-07	Palestine	1
2025-07-07	Panama	7
2025-07-07	Peru	7
2025-07-07	Philippines	38
2025-07-07	Poland	14
2025-07-07	Portugal	15
2025-07-07	Puerto Rico	17
2025-07-07	Qatar	5
2025-07-07	Romania	13
2025-07-07	Saudi Arabia	27
2025-07-07	Seychelles	1
2025-07-07	Singapore	16
2025-07-07	Sint Maarten	1
2025-07-07	Slovakia	12
2025-07-07	Slovenia	1
2025-07-07	South Africa	70
2025-07-07	South Korea	15
2025-07-07	Spain	29
2025-07-07	Sri Lanka	2
2025-07-07	St. Lucia	1
2025-07-07	Sweden	24
2025-07-07	Switzerland	14
2025-07-07	Syria	1
2025-07-07	Taiwan	1
2025-07-07	Tanzania	2
2025-07-07	Thailand	8
2025-07-07	Trinidad & Tobago	5
2025-07-07	Tunisia	2
2025-07-07	Türkiye	10
2025-07-07	United Arab Emirates	35
2025-07-07	United Kingdom	350
2025-07-07	United States	7207
2025-07-07	Uruguay	5
2025-07-07	Venezuela	15
2025-07-07	Vietnam	4
2025-07-07	Zimbabwe	2
2025-07-14	Algeria	3
2025-07-14	Argentina	24
2025-07-14	Armenia	1
2025-07-14	Australia	849
2025-07-14	Austria	11
2025-07-14	Azerbaijan	1
2025-07-14	Bahamas	1
2025-07-14	Bahrain	8
2025-07-14	Bangladesh	1
2025-07-14	Barbados	3
2025-07-14	Belgium	14
2025-07-14	Belize	2
2025-07-14	Bermuda	1
2025-07-14	Brazil	41
2025-07-14	Brunei	2
2025-07-14	Bulgaria	5
2025-07-14	Canada	1182
2025-07-14	Cayman Islands	1
2025-07-14	Chile	30
2025-07-14	China	2
2025-07-14	Colombia	13
2025-07-14	Costa Rica	12
2025-07-14	Croatia	7
2025-07-14	Curaçao	1
2025-07-14	Cyprus	9
2025-07-14	Czechia	4
2025-07-14	Denmark	11
2025-07-14	Dominica	1
2025-07-14	Dominican Republic	17
2025-07-14	Ecuador	16
2025-07-14	Egypt	8
2025-07-14	El Salvador	3
2025-07-14	Estonia	3
2025-07-14	Finland	6
2025-07-14	France	45
2025-07-14	Georgia	1
2025-07-14	Germany	107
2025-07-14	Greece	9
2025-07-14	Grenada	1
2025-07-14	Guadeloupe	2
2025-07-14	Guam	8
2025-07-14	Guatemala	7
2025-07-14	Haiti	3
2025-07-14	Honduras	5
2025-07-14	Hong Kong	1
2025-07-14	Hungary	10
2025-07-14	Iceland	1
2025-07-14	India	94
2025-07-14	Indonesia	22
2025-07-14	Iran	5
2025-07-14	Iraq	1
2025-07-14	Ireland	55
2025-07-14	Israel	50
2025-07-14	Italy	34
2025-07-14	Jamaica	3
2025-07-14	Japan	22
2025-07-14	Jordan	5
2025-07-14	Kenya	3
2025-07-14	Kuwait	9
2025-07-14	Latvia	3
2025-07-14	Lebanon	11
2025-07-14	Lithuania	2
2025-07-14	Luxembourg	1
2025-07-14	Malaysia	19
2025-07-14	Maldives	1
2025-07-14	Malta	1
2025-07-14	Mauritius	1
2025-07-14	Mexico	150
2025-07-14	Morocco	4
2025-07-14	Netherlands	36
2025-07-14	New Zealand	91
2025-07-14	Nicaragua	3
2025-07-14	Nigeria	4
2025-07-14	Norway	1
2025-07-14	Oman	1
2025-07-14	Pakistan	20
2025-07-14	Panama	6
2025-07-14	Paraguay	3
2025-07-14	Peru	16
2025-07-14	Philippines	47
2025-07-14	Poland	18
2025-07-14	Portugal	15
2025-07-14	Puerto Rico	27
2025-07-14	Qatar	5
2025-07-14	Romania	9
2025-07-14	Russia	2
2025-07-14	Rwanda	1
2025-07-14	Saudi Arabia	41
2025-07-14	Singapore	31
2025-07-14	Sint Maarten	1
2025-07-14	Slovakia	5
2025-07-14	Slovenia	2
2025-07-14	South Africa	86
2025-07-14	South Korea	15
2025-07-14	Spain	39
2025-07-14	Sri Lanka	2
2025-07-14	St. Lucia	1
