user_pseudo_id,total_visits,total_sessions,first_visit,last_visit,days_between_first_last
620878416.1715520607,5,26,2025-11-02,2025-11-06,4
2019630917.1761836930,5,14,2025-11-02,2025-11-06,4
1597100681.1762111779,5,14,2025-11-02,2025-11-06,4
2081463643.1761074409,5,14,2025-11-02,2025-11-06,4
1470008856.1762116286,5,13,2025-11-02,2025-11-06,4
2098069388.1760835560,5,12,2025-11-02,2025-11-06,4
1947651624.1760911252,5,12,2025-11-02,2025-11-06,4
1619314546.1761932592,5,11,2025-11-02,2025-11-06,4
1729807025.1762091708,5,10,2025-11-02,2025-11-06,4
1977455019.1761709660,5,10,2025-11-02,2025-11-06,4
297751915.1762128689,5,7,2025-11-02,2025-11-06,4
,5,0,2025-11-02,2025-11-06,4
655460933.1762031346,4,20,2025-11-02,2025-11-05,3
641169426.1760490288,4,17,2025-11-02,2025-11-05,3
295677041.1762114320,4,16,2025-11-02,2025-11-06,4
1026574891.1762237260,4,15,2025-11-03,2025-11-06,3
1020891823.1761670564,4,13,2025-11-02,2025-11-05,3
1855589205.1762041610,4,11,2025-11-02,2025-11-05,3
1373916379.1762067984,4,11,2025-11-02,2025-11-05,3
993311475.1762099810,4,11,2025-11-02,2025-11-05,3
679458879.1761961574,4,11,2025-11-02,2025-11-05,3
1395094000.1762202947,4,11,2025-11-03,2025-11-06,3
1860619043.1736213735,4,11,2025-11-03,2025-11-06,3
130222033.1761078313,4,10,2025-11-02,2025-11-05,3
1297357311.1762102565,4,9,2025-11-02,2025-11-06,4
205539951.1762151248,4,9,2025-11-02,2025-11-05,3
279757372.1762071892,4,9,2025-11-02,2025-11-05,3
1390082818.1761819789,4,8,2025-11-02,2025-11-06,4
1076680845.1762130969,4,8,2025-11-02,2025-11-05,3
980943287.1761618454,4,7,2025-11-02,2025-11-06,4
1671492761.1761164262,4,7,2025-11-02,2025-11-05,3
1552562588.1761633085,4,7,2025-11-03,2025-11-06,3
898301373.1762123176,4,7,2025-11-02,2025-11-06,4
953417136.1761931770,4,7,2025-11-02,2025-11-06,4
914305693.1757215438,4,6,2025-11-02,2025-11-05,3
1561471720.1762017819,4,6,2025-11-03,2025-11-06,3
1122905844.1760920273,4,6,2025-11-02,2025-11-05,3
949268873.1762065882,4,6,2025-11-02,2025-11-06,4
1511752729.1762117189,4,6,2025-11-02,2025-11-06,4
119317219.1762132924,4,6,2025-11-02,2025-11-06,4
88255166.1755221860,4,5,2025-11-02,2025-11-06,4
1148290834.1762137592,4,5,2025-11-02,2025-11-05,3
666252531.1761699678,4,4,2025-11-02,2025-11-05,3
1495459996.1762191802,4,4,2025-11-03,2025-11-06,3
1776708771.1762138522,4,4,2025-11-02,2025-11-06,4
713194348.1761484389,4,4,2025-11-02,2025-11-06,4
2103800978.1762286074,3,18,2025-11-04,2025-11-06,2
