source,medium,duration_bucket,sessions,avg_session_duration_seconds
(direct),(none),<30s,3616,0.7226216814159305
(direct),(none),30-59s,121,44.181818181818166
(direct),(none),1-1.9m,139,83.72661870503595
(direct),(none),2-2.9m,54,147.3518518518518
(direct),(none),3-4.9m,101,232.4257425742574
(direct),(none),5-9.9m,92,438.42391304347825
(direct),(none),10-19.9m,109,876.0091743119266
(direct),(none),20-29.9m,73,1515.5342465753417
(direct),(none),30-59.9m,24,2361.7916666666665
(direct),(none),60m+,6,4274.166666666667
MailerLite,email,<30s,339,0.7669616519174044
MailerLite,email,30-59s,11,41.18181818181818
MailerLite,email,1-1.9m,13,90.76923076923076
MailerLite,email,2-2.9m,14,143.0
MailerLite,email,3-4.9m,7,215.42857142857142
MailerLite,email,5-9.9m,14,438.64285714285717
MailerLite,email,10-19.9m,8,958.5000000000001
MailerLite,email,20-29.9m,4,1395.75
MailerLite,email,30-59.9m,4,2746.5
au.pinterest.com,referral,<30s,8,0.0
bing,organic,<30s,43,2.162790697674419
bing,organic,30-59s,3,45.0
bing,organic,1-1.9m,3,105.33333333333333
bing,organic,2-2.9m,1,139.0
bing,organic,3-4.9m,1,255.0
ca.pinterest.com,referral,<30s,10,2.4000000000000004
ca.search.yahoo.com,referral,<30s,4,0.0
chatgpt.com,(none),<30s,1,0.0
duckduckgo,organic,<30s,22,0.4090909090909091
duckduckgo,organic,10-19.9m,1,1110.0
ecosia.org,organic,<30s,6,0.0
ecosia.org,organic,1-1.9m,1,102.0
ecosia.org,organic,2-2.9m,1,177.0
ecosia.org,organic,3-4.9m,1,191.0
ecosia.org,organic,5-9.9m,1,370.0
ecosia.org,organic,10-19.9m,1,789.0
es.pinterest.com,referral,<30s,3,0.0
facebook.com,referral,<30s,15,0.0
facebook.com,referral,3-4.9m,1,201.0
google,organic,<30s,1527,0.7360838244924692
google,organic,30-59s,53,42.05660377358491
google,organic,1-1.9m,48,87.77083333333334
google,organic,2-2.9m,25,148.60000000000002
google,organic,3-4.9m,35,238.88571428571427
google,organic,5-9.9m,54,436.2407407407407
google,organic,10-19.9m,49,878.1224489795917
google,organic,20-29.9m,45,1472.1777777777772
google,organic,30-59.9m,17,2281.705882352941
google,organic,60m+,5,4763.0
grocerslist,FB_comment,<30s,1759,1.7072200113700957
grocerslist,FB_comment,30-59s,61,43.524590163934405
grocerslist,FB_comment,1-1.9m,71,84.35211267605635
grocerslist,FB_comment,2-2.9m,39,148.4102564102564
grocerslist,FB_comment,3-4.9m,32,221.28125
grocerslist,FB_comment,5-9.9m,31,437.80645161290323
grocerslist,FB_comment,10-19.9m,24,856.375
grocerslist,FB_comment,20-29.9m,12,1457.4166666666667
grocerslist,FB_comment,30-59.9m,2,2245.5
grocerslist,FB_comment,60m+,1,4361.0
grocerslist,FB_story_reply,<30s,23,0.782608695652174
grocerslist,FB_story_reply,30-59s,1,46.0
grocerslist,FB_story_reply,20-29.9m,1,1460.0
grocerslist,IG_comment,<30s,4427,0.44070476620736315
grocerslist,IG_comment,30-59s,93,41.84946236559141
grocerslist,IG_comment,1-1.9m,107,88.11214953271025
grocerslist,IG_comment,2-2.9m,60,144.54999999999998
grocerslist,IG_comment,3-4.9m,49,233.8979591836735
